From,To
matthias_platzeck,politik_net
ronald_pofalla,wirtschaft_net
barbara_praetorius,htw_berlin
stanislaw_tillich,politik_net
jutta_allmendinger,wzb
antje_grothus,buirer_fuer_buir
gerda_hasselfeldt,drk
christine_herntier,spremberg
martin_kaiser,greenpeace
steffen_kampeter,bda
stefan_kapferer,bdew
dieter_kempf,bdi
stefan_koerzell,dgb
michael_kreuzberg,politik_net
felix_matthes,oeko_institut
claudia_nemat,telekom
kai_niebert,uni_zuerich
annekatrin_niebuhr,uni_kiel
hans_joachim_schellnhuber,pik
antje_grothus,bund
martin_kaiser,wwf
