id,type,age,function,representation,position
Alexander_Wehrle,0,1975,1,Wirtschaft,1
Thomas_Ignatzi,0,1968,1,Wirtschaft,3
Rouven_Kasper,0,1980,1,Wirtschaft,3
Fabian_Wohlgemuth,0,1979,1,Sport,3
Dietmar_Allgaier,0,1966,2,Politik,1
Peter_Schymon,0,1970,2,Wirtschaft,2
Lutz_Meschke,0,1966,2,Wirtschaft,2
Beate_Beck-Deharde,0,1972,2,Wirtschaft,3
Tanja_Gönner,0,1969,2,Politik,3
Andreas_Grupp,0,1975,2,Wirtschaft,3
Alexander_Kläger,0,1973,2,Wirtschaft,3
Albrecht_Reimold,0,1961,2,Wirtschaft,3
Franz_Reiner,0,1967,2,Wirtschaft,3
Tobias_Röschl,0,1975,2,Wirtschaft,3
Mercedes-Benz_Group,1,NA,NA,NA,NA
Porsche_AG,1,NA,NA,NA,NA
Jako_AG,1,NA,NA,NA,NA
Beck_Packautomaten,1,NA,NA,NA,NA
BDI,1,NA,NA,NA,NA
SAP,1,NA,NA,NA,NA
Landkreis_Ludwigsburg,1,NA,NA,NA,NA
VfB_Stuttgart,1,NA,NA,NA,NA
